epoch,step,train_acc,train_loss,val_acc,val_loss
0,4,,,0.4235772490501404,1.3050241470336914
0,4,0.5421292781829834,1.2233961820602417,,
1,9,,,0.5430894494056702,1.306054711341858
1,9,0.4627611041069031,1.044475793838501,,
2,14,,,0.5390244126319885,1.2691386938095093
2,14,0.588695764541626,0.9974821209907532,,
3,19,,,0.5430894494056702,1.263801097869873
3,19,0.5888625383377075,0.9732561707496643,,
4,24,,,0.5430894494056702,1.243041753768921
4,24,0.5891656279563904,0.9532145857810974,,
5,29,,,0.5430894494056702,1.2391891479492188
5,29,0.589704692363739,0.9459724426269531,,
6,34,,,0.5414634346961975,1.22230064868927
6,34,0.58942049741745,0.9323762655258179,,
7,39,,,0.5439024567604065,1.218032956123352
7,39,0.5903536081314087,0.9288592338562012,,
8,44,,,0.5617886185646057,1.202418565750122
8,44,0.5906546115875244,0.9162765741348267,,
9,49,,,0.5447154641151428,1.1967554092407227
9,49,0.5925939679145813,0.9130756258964539,,
10,54,,,0.5869918465614319,1.1833879947662354
10,54,0.5984567999839783,0.9024482369422913,,
11,59,,,0.5813007950782776,1.175628423690796
11,59,0.5984134078025818,0.8981761336326599,,
12,64,,,0.6016260385513306,1.1661295890808105
12,64,0.6102651953697205,0.8900538086891174,,
13,69,,,0.6211382150650024,1.1573024988174438
13,69,0.6106432676315308,0.8843725323677063,,
14,74,,,0.6227642297744751,1.1505076885223389
14,74,0.6211073994636536,0.879401683807373,,
15,79,,,0.6333333253860474,1.1424319744110107
15,79,0.6256095170974731,0.8731541633605957,,
16,84,,,0.632520318031311,1.1359856128692627
16,84,0.6295750141143799,0.8692210912704468,,
17,89,,,0.6284552812576294,1.1300146579742432
17,89,0.6352278590202332,0.8646238446235657,,
18,94,,,0.6357723474502563,1.1239680051803589
18,94,0.6374572515487671,0.8603861331939697,,
19,99,,,0.6333333253860474,1.1188783645629883
19,99,0.6387898921966553,0.8572651147842407,,
20,104,,,0.6341463327407837,1.1141903400421143
20,104,0.6428518891334534,0.853929340839386,,
21,109,,,0.639837384223938,1.1097475290298462
21,109,0.644930362701416,0.8509620428085327,,
22,114,,,0.642276406288147,1.105899453163147
22,114,0.647728443145752,0.8486450910568237,,
23,119,,,0.6430894136428833,1.1024588346481323
23,119,0.6488214135169983,0.8463886976242065,,
24,124,,,0.6430894136428833,1.0992674827575684
24,124,0.6499055624008179,0.8443336486816406,,
25,129,,,0.6479674577713013,1.0964275598526
25,129,0.650840699672699,0.8427039980888367,,
26,134,,,0.6463414430618286,1.0939290523529053
26,134,0.6515018343925476,0.8412807583808899,,
27,139,,,0.6455284357070923,1.0916833877563477
27,139,0.6519782543182373,0.8399680852890015,,
28,144,,,0.6455284357070923,1.0896722078323364
28,144,0.6524172425270081,0.838870644569397,,
29,149,,,0.6430894136428833,1.0878998041152954
