epoch,step,train_acc,train_loss,val_acc,val_loss
67,339,,,0.6390243768692017,1.0757781267166138
67,339,0.6558086276054382,0.8361629247665405,,
68,344,,,0.6382113695144653,1.0758156776428223
68,344,0.6555911302566528,0.8362534642219543,,
69,349,,,0.637398362159729,1.0758501291275024
69,349,0.6554855704307556,0.8363285660743713,,
70,354,,,0.6357723474502563,1.075887680053711
70,354,0.655413806438446,0.8363950848579407,,
71,359,,,0.63495934009552,1.0759327411651611
71,359,0.6554849743843079,0.8364660143852234,,
72,364,,,0.63495934009552,1.0759828090667725
72,364,0.6551579833030701,0.8365485072135925,,
73,369,,,0.6365853548049927,1.0760307312011719
73,369,0.6551574468612671,0.8366362452507019,,
74,374,,,0.637398362159729,1.076070785522461
74,374,0.6550489068031311,0.8367154598236084,,
75,379,,,0.6382113695144653,1.0761041641235352
75,379,0.6551214456558228,0.8367777466773987,,
76,384,,,0.6382113695144653,1.0761384963989258
76,384,0.6550478339195251,0.8368279933929443,,
77,389,,,0.6390243768692017,1.0761798620224
77,389,0.6550493836402893,0.8368803858757019,,
78,394,,,0.6382113695144653,1.0762273073196411
78,394,0.6548677086830139,0.8369446396827698,,
79,399,,,0.6382113695144653,1.0762734413146973
79,399,0.6549752950668335,0.8370172381401062,,
80,404,,,0.6390243768692017,1.076310634613037
80,404,0.6548666954040527,0.8370846509933472,,
81,409,,,0.639837384223938,1.076338768005371
81,409,0.6549766063690186,0.837135910987854,,
82,414,,,0.6406503915786743,1.0763647556304932
82,414,0.6549034714698792,0.8371724486351013,,
83,419,,,0.6406503915786743,1.0763968229293823
83,419,0.6547945141792297,0.8372071385383606,,
84,424,,,0.6414633989334106,1.0764362812042236
84,424,0.6548296809196472,0.8372520804405212,,
85,429,,,0.6406503915786743,1.0764769315719604
85,429,0.6548650860786438,0.8373082280158997,,
86,434,,,0.6406503915786743,1.0765103101730347
86,434,0.6548651456832886,0.8373642563819885,,
87,439,,,0.6406503915786743,1.076533317565918
87,439,0.6549372673034668,0.8374074101448059,,
88,444,,,0.6406503915786743,1.0765511989593506
88,444,0.6548641920089722,0.8374349474906921,,
89,449,,,0.6406503915786743,1.0765727758407593
89,449,0.654863715171814,0.8374559283256531,,
90,454,,,0.6406503915786743,1.0766019821166992
90,454,0.6549372673034668,0.8374837040901184,,
91,459,,,0.6406503915786743,1.0766353607177734
91,459,0.6551193594932556,0.8375235199928284,,
92,464,,,0.639837384223938,1.0766645669937134
92,464,0.6551920175552368,0.8375682234764099,,
93,469,,,0.639837384223938,1.0766842365264893
93,469,0.6550825238227844,0.8376052975654602,,
94,474,,,0.639837384223938,1.076696515083313
94,474,0.6551551222801208,0.8376278281211853,,
95,479,,,0.6406503915786743,1.0767091512680054
95,479,0.6551545858383179,0.8376405835151672,,
96,484,,,0.639837384223938,1.076728343963623
96,484,0.6551182866096497,0.8376554250717163,,
97,489,,,0.639837384223938,1.076753854751587
97,489,0.6551182866096497,0.8376805782318115,,
98,494,,,0.639837384223938,1.0767784118652344
98,494,0.655044674873352,0.837713897228241,,
99,499,,,0.6390243768692017,1.0767961740493774
99,499,0.6550805568695068,0.8377454280853271,,
